split,scene_id,family,status,N,q_tie_count,fitted_candidates,planted_in_pool,planted_in_neighbors,true_k,best_k,best_branch,best_ari,best_LB,best_UB,best_rms_cents,second_minus_best,planted_LB,planted_UB,rival_status,rival_delta_UB,margin_LB,margin_UB,old_ari_decoupled_source,old_ari_fixed_pairs,old_ari_fixed_shared,old_ari_historical,old_ari_local_compatibility,old_ari_pairs_structure,old_ari_shared_source
iid,13,base,COMPLETE,16,0,65,1,0,2,2,base-low,1.0,7.290627643025561,7.2906276430257355,1.9092704945902421,1684.2676500294717,7.290627643025561,7.2906276430257355,PLANTED_BETTER_ON_GRID,1684.2676500294717,1684.2676500294622,1684.267650029472,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,13,extended,COMPLETE,16,0,65,1,0,2,2,base-low,1.0,7.290627643025561,7.2906276430257355,1.9092704945902421,1659.8182955532131,7.290627643025561,7.2906276430257355,PLANTED_BETTER_ON_GRID,1659.8182955532131,1659.8182955532207,1659.8182955532134,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,30,base,COMPLETE,23,0,66,1,0,3,3,base-low,1.0,6.867814595859066,6.867814595860153,1.5455759692816642,0.6127120353551456,6.867814595859066,6.867814595860153,PLANTED_BETTER_ON_GRID,0.6127120353551456,0.6127120353558642,0.6127120353562328,0.895038360084183,0.9173901579461852,0.895038360084183,0.8761278172539252,0.895038360084183,0.895038360084183,0.9024889593715171
iid,30,extended,COMPLETE,23,0,66,1,0,3,3,base-low,1.0,6.867814595859066,6.867814595860153,1.5455759692816642,0.6127120353551456,6.867814595859066,6.867814595860153,PLANTED_BETTER_ON_GRID,0.6127120353551456,0.6127120353558642,0.6127120353562328,0.895038360084183,0.9173901579461852,0.895038360084183,0.8761278172539252,0.895038360084183,0.895038360084183,0.9024889593715171
iid,66,base,COMPLETE,20,0,65,1,0,3,3,base-low,1.0,5.276977760414518,5.276977760415242,1.4528561883979063,11.354666500900205,5.276977760414518,5.276977760415242,PLANTED_BETTER_ON_GRID,11.354666500900205,11.354666500899373,11.35466650090093,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,66,extended,COMPLETE,20,0,65,1,0,3,3,base-low,1.0,5.276977760414518,5.276977760415242,1.4528561883979063,11.354666500900205,5.276977760414518,5.276977760415242,PLANTED_BETTER_ON_GRID,11.354666500900205,11.354666500899373,11.35466650090093,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,131,base,COMPLETE,14,0,57,1,0,2,2,base-low,1.0,4.424041878170167,4.424041878168736,1.5899760785565793,5.295327324034294,4.424041878170167,4.424041878168736,PLANTED_BETTER_ON_GRID,5.295327324034294,5.295327324033409,5.295327324032863,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,131,extended,COMPLETE,14,0,57,1,0,2,2,base-low,1.0,4.424041878170167,4.424041878168736,1.5899760785565793,5.295327324034294,4.424041878170167,4.424041878168736,PLANTED_BETTER_ON_GRID,5.295327324034294,5.295327324033409,5.295327324032863,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,163,base,COMPLETE,14,0,57,1,0,2,2,base-low,1.0,6.155362177640242,6.155362177641867,1.875459894477979,25.95566752956473,6.155362177640242,6.155362177641867,PLANTED_BETTER_ON_GRID,25.95566752956473,25.955667529562827,25.955667529566355,0.9457427812803402,0.9105211406096362,0.9105211406096362,0.9630351775123892,0.9358012038079819,0.9876783925041299,0.9654152075359015
iid,163,extended,COMPLETE,14,0,57,1,0,2,2,base-low,1.0,6.155362177640242,6.155362177641867,1.875459894477979,25.95566752956473,6.155362177640242,6.155362177641867,PLANTED_BETTER_ON_GRID,25.95566752956473,25.955667529562827,25.955667529566355,0.9457427812803402,0.9105211406096362,0.9105211406096362,0.9630351775123892,0.9358012038079819,0.9876783925041299,0.9654152075359015
iid,190,base,COMPLETE,13,0,56,1,0,2,2,base-low,1.0,3.0904580793355128,3.0904580793362153,1.379065029835288,462.56638022489324,3.0904580793355128,3.0904580793362153,PLANTED_BETTER_ON_GRID,462.56638022489324,462.56638022489335,462.5663802248939,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,190,extended,COMPLETE,13,0,56,1,0,2,2,base-low,1.0,3.0904580793355128,3.0904580793362153,1.379065029835288,462.56638022489324,3.0904580793355128,3.0904580793362153,PLANTED_BETTER_ON_GRID,462.56638022489324,462.56638022489335,462.5663802248939,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,228,base,COMPLETE,22,0,65,0,1,3,3,base-low,1.0,6.703087171898672,6.703087171899573,1.561245094252365,1.6022708876310423,6.703087171898672,6.703087171899573,PLANTED_BETTER_ON_GRID,1.6022708876310423,1.6022708876296567,1.602270887631943,0.7490802612488665,0.7363326912042464,0.7363326912042464,0.7145581826448353,0.751536166584879,0.7448310712339931,0.7490802612488665
iid,228,extended,COMPLETE,22,0,65,0,1,3,3,base-low,1.0,6.703087171898672,6.703087171899573,1.561245094252365,1.6022708876310423,6.703087171898672,6.703087171899573,PLANTED_BETTER_ON_GRID,1.6022708876310423,1.6022708876296567,1.602270887631943,0.7490802612488665,0.7363326912042464,0.7363326912042464,0.7145581826448353,0.751536166584879,0.7448310712339931,0.7490802612488665
iid,231,base,COMPLETE,14,0,57,1,0,2,2,base-low,1.0,3.4521237902120196,3.4521237902108957,1.4045078019843242,5.407121089782494,3.4521237902120196,3.4521237902108957,PLANTED_BETTER_ON_GRID,5.407121089782494,5.407121089781741,5.407121089781371,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,231,extended,COMPLETE,14,0,57,1,0,2,2,base-low,1.0,3.4521237902120196,3.4521237902108957,1.4045078019843242,5.407121089782494,3.4521237902120196,3.4521237902108957,PLANTED_BETTER_ON_GRID,5.407121089782494,5.407121089781741,5.407121089781371,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,277,base,COMPLETE,10,0,36,1,0,2,2,base-low,1.0,3.2512630794351094,3.2512630794350414,1.6127648506673355,1430.5910572112587,3.2512630794351094,3.2512630794350414,PLANTED_BETTER_ON_GRID,1430.5910572112587,1430.5910572112593,1430.5910572112587,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,277,extended,COMPLETE,10,0,36,1,0,2,2,base-low,1.0,3.2512630794351094,3.2512630794350414,1.6127648506673355,1430.5910572112587,3.2512630794351094,3.2512630794350414,PLANTED_BETTER_ON_GRID,1430.5910572112587,1430.5910572112593,1430.5910572112587,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,297,base,COMPLETE,16,0,66,1,0,3,3,base-low,1.0,8.642708260021282,8.642708260021454,2.078786696611927,94.89994098139401,8.642708260021282,8.642708260021454,PLANTED_BETTER_ON_GRID,94.89994098139401,94.89994098140093,94.89994098139418,0.9590862598022503,0.9052700849292068,0.9052700849292068,0.9800133244503664,0.9524240346190391,0.9524240346190391,0.9590862598022503
iid,297,extended,COMPLETE,16,0,66,1,0,3,3,base-low,1.0,8.642708260021282,8.642708260021454,2.078786696611927,94.89994098139401,8.642708260021282,8.642708260021454,PLANTED_BETTER_ON_GRID,94.89994098139401,94.89994098140093,94.89994098139418,0.9590862598022503,0.9052700849292068,0.9052700849292068,0.9800133244503664,0.9524240346190391,0.9524240346190391,0.9590862598022503
iid,308,base,COMPLETE,18,0,65,1,0,3,3,base-low,1.0,13.415123914390024,13.415123914388822,2.441777486849273,177.42230276578408,13.415123914390024,13.415123914388822,PLANTED_BETTER_ON_GRID,177.42230276578408,177.42230276578593,177.4223027657829,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,308,extended,COMPLETE,18,0,65,1,0,3,3,deformed-low,1.0,13.005650371646825,13.005650371644371,2.4042231706029473,177.83177630852853,13.005650371646825,13.005650371644371,PLANTED_BETTER_ON_GRID,177.83177630852853,177.83177630853038,177.8317763085261,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,341,base,COMPLETE,12,0,41,1,0,2,2,base-low,1.0,1.672204496855825,1.672204496855584,1.0558423167801796,72.87555182242689,1.672204496855825,1.672204496855584,PLANTED_BETTER_ON_GRID,72.87555182242689,72.87555182242659,72.87555182242664,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,341,extended,COMPLETE,12,0,41,1,0,2,2,base-low,1.0,1.672204496855825,1.672204496855584,1.0558423167801796,66.70061325600952,1.672204496855825,1.672204496855584,PLANTED_BETTER_ON_GRID,66.70061325600952,66.70061325600992,66.70061325600928,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,348,base,COMPLETE,10,0,36,1,0,2,2,base-low,1.0,3.5720656730672937,3.5720656730677405,1.6904592684990054,251.43467440399854,3.5720656730672937,3.5720656730677405,PLANTED_BETTER_ON_GRID,251.43467440399854,251.43467440398888,251.43467440399897,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,348,extended,COMPLETE,10,0,36,1,0,2,2,base-low,1.0,3.5720656730672937,3.5720656730677405,1.6904592684990054,251.43467440399854,3.5720656730672937,3.5720656730677405,PLANTED_BETTER_ON_GRID,251.43467440399854,251.43467440398888,251.43467440399897,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,367,base,COMPLETE,9,0,26,1,0,2,2,base-low,1.0,3.5276826820852825,3.5276826820863985,1.7707958492249585,175.30354632706545,3.5276826820852825,3.5276826820863985,PLANTED_BETTER_ON_GRID,175.30354632706545,175.303546327061,175.30354632706658,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,367,extended,COMPLETE,9,0,26,1,0,2,2,base-low,1.0,3.5276826820852825,3.5276826820863985,1.7707958492249585,175.30354632706545,3.5276826820852825,3.5276826820863985,PLANTED_BETTER_ON_GRID,175.30354632706545,175.303546327061,175.30354632706658,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,391,base,COMPLETE,11,0,36,0,1,2,2,base-low,0.6357615894039735,5.1402716277097955,5.140271627709918,1.9334889101329673,0.28722016478175405,5.427491792491707,5.427491792491672,RIVAL_BETTER_ON_GRID,-0.28722016478175405,-0.2872201647818766,-0.2872201647817887,0.6357615894039735,0.6357615894039735,0.6357615894039735,0.6357615894039735,0.6357615894039735,0.6357615894039735,0.6357615894039735
iid,391,extended,COMPLETE,11,0,36,0,1,2,2,base-low,0.6357615894039735,5.1402716277097955,5.140271627709918,1.9334889101329673,0.28722016478175405,5.427491792491707,5.427491792491672,RIVAL_BETTER_ON_GRID,-0.28722016478175405,-0.2872201647818766,-0.2872201647817887,0.6357615894039735,0.6357615894039735,0.6357615894039735,0.6357615894039735,0.6357615894039735,0.6357615894039735,0.6357615894039735
iid,398,base,COMPLETE,20,0,66,1,0,3,3,base-low,0.7270471464019851,6.985531329024247,6.985531329024201,1.6715898215799574,1.923408890785999,8.90894021980883,8.9089402198102,RIVAL_BETTER_ON_GRID,-1.923408890785999,-1.9234088907859528,-1.9234088907846294,0.8180314309346568,0.8180314309346568,0.8180314309346568,0.8180314309346568,0.8180314309346568,0.8180314309346568,0.8180314309346568
iid,398,extended,COMPLETE,20,0,66,1,0,3,3,base-low,0.7270471464019851,6.985531329024247,6.985531329024201,1.6715898215799574,1.923408890785999,8.90894021980883,8.9089402198102,RIVAL_BETTER_ON_GRID,-1.923408890785999,-1.9234088907859528,-1.9234088907846294,0.8180314309346568,0.8180314309346568,0.8180314309346568,0.8180314309346568,0.8180314309346568,0.8180314309346568,0.8180314309346568
iid,424,base,COMPLETE,14,0,64,1,0,2,2,base-low,1.0,10.758830633798212,10.758830633798494,2.4794965656990446,148.47601402111053,10.758830633798212,10.758830633798494,PLANTED_BETTER_ON_GRID,148.47601402111053,148.4760140211057,148.4760140211108,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,424,extended,COMPLETE,14,0,64,1,0,2,2,base-low,1.0,10.758830633798212,10.758830633798494,2.4794965656990446,148.47601402111053,10.758830633798212,10.758830633798494,PLANTED_BETTER_ON_GRID,148.47601402111053,148.4760140211057,148.4760140211108,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,444,base,COMPLETE,11,0,36,1,0,2,2,base-low,1.0,1.8310192709438982,1.8310192709435897,1.1539715676168392,6.858158722410004,1.8310192709438982,1.8310192709435897,PLANTED_BETTER_ON_GRID,6.858158722410004,6.858158722411225,6.858158722409696,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,444,extended,COMPLETE,11,0,36,1,0,2,2,base-low,1.0,1.8310192709438982,1.8310192709435897,1.1539715676168392,6.858158722410004,1.8310192709438982,1.8310192709435897,PLANTED_BETTER_ON_GRID,6.858158722410004,6.858158722411225,6.858158722409696,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,445,base,COMPLETE,15,0,65,1,0,2,2,base-low,1.0,4.368196842875807,4.368196842875897,1.526337113113337,1429.20878148733,4.368196842875807,4.368196842875897,PLANTED_BETTER_ON_GRID,1429.20878148733,1429.2087814873198,1429.2087814873303,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,445,extended,COMPLETE,15,0,65,1,0,2,2,base-low,1.0,4.368196842875807,4.368196842875897,1.526337113113337,1429.20878148733,4.368196842875807,4.368196842875897,PLANTED_BETTER_ON_GRID,1429.20878148733,1429.2087814873198,1429.2087814873303,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,453,base,COMPLETE,14,0,64,1,0,2,2,base-low,1.0,5.399172358120111,5.399172358121077,1.7564855101872485,6.55135057984091,5.399172358120111,5.399172358121077,PLANTED_BETTER_ON_GRID,6.55135057984091,6.551350579842226,6.551350579841875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,453,extended,COMPLETE,14,0,64,1,0,2,2,base-low,1.0,5.399172358120111,5.399172358121077,1.7564855101872485,6.55135057984091,5.399172358120111,5.399172358121077,PLANTED_BETTER_ON_GRID,6.55135057984091,6.551350579842226,6.551350579841875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,472,base,COMPLETE,21,0,66,1,0,3,3,base-low,0.8663271801400382,3.2434904713799706,3.2434904713805213,1.1115823935582845,0.4424727623124656,3.6859632336926578,3.685963233692987,RIVAL_BETTER_ON_GRID,-0.4424727623124656,-0.44247276231301624,-0.4424727623121365,0.9108847867600254,0.9108847867600254,0.9108847867600254,0.9108847867600254,0.9108847867600254,0.9108847867600254,0.9108847867600254
iid,472,extended,COMPLETE,21,0,66,1,0,3,3,base-low,0.8663271801400382,3.2434904713799706,3.2434904713805213,1.1115823935582845,0.4424727623124656,3.6859632336926578,3.685963233692987,RIVAL_BETTER_ON_GRID,-0.4424727623124656,-0.44247276231301624,-0.4424727623121365,0.9108847867600254,0.9108847867600254,0.9108847867600254,0.9108847867600254,0.9108847867600254,0.9108847867600254,0.9108847867600254
iid,482,base,COMPLETE,20,0,65,1,0,3,3,base-low,1.0,11.89845426833019,11.898454268328639,2.1816007213354456,992.1121809212589,11.89845426833019,11.898454268328639,PLANTED_BETTER_ON_GRID,992.1121809212589,992.1121809212599,992.1121809212574,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,482,extended,COMPLETE,20,0,65,1,0,3,3,base-low,1.0,11.89845426833019,11.898454268328639,2.1816007213354456,989.9139801929626,11.89845426833019,11.898454268328639,PLANTED_BETTER_ON_GRID,989.9139801929626,989.913980192957,989.9139801929612,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,492,base,COMPLETE,14,0,66,1,0,3,3,base-low,1.0,6.465417728383942,6.465417728383913,1.9221145689628698,72.53165012252471,6.465417728383942,6.465417728383913,PLANTED_BETTER_ON_GRID,72.53165012252471,72.5316501225214,72.53165012252468,1.0,1.0,1.0,1.0,1.0,1.0,1.0
iid,492,extended,COMPLETE,14,0,66,1,0,3,3,base-low,1.0,6.465417728383942,6.465417728383913,1.9221145689628698,72.53165012252471,6.465417728383942,6.465417728383913,PLANTED_BETTER_ON_GRID,72.53165012252471,72.5316501225214,72.53165012252468,1.0,1.0,1.0,1.0,1.0,1.0,1.0
